aspiration pneumonitis	is a type of	pneumonitis
aspiration pneumonitis	may lead to	tracheobronchitis
aspiration pneumonitis	can cause	death
aspiration pneumonitis	is often a result of	impaired cough reflex
aspiration pneumonitis	can lead to	pulmonary edema
aspiration pneumonitis	is characterized by	inflammatory changes in the lungs
aspiration pneumonitis	may require	intubation
aspiration pneumonitis	can result in	bronchospasm
aspiration pneumonitis	is a risk for	chemical pneumonitis
aspiration pneumonitis	requires	close monitoring
aspiration pneumonitis	may lead to	respiratory arrest
aspiration pneumonitis	is associated with	gastric acid aspiration
aspiration pneumonitis	can cause	asphyxiation
aspiration pneumonitis	is a consequence of	impaired swallowing reflex
aspiration pneumonitis	may result in	septic shock
aspiration pneumonitis	can lead to	aspergillosis
aspiration pneumonitis	is linked to	poor oral hygiene
aspiration pneumonitis	may require	supportive care
aspiration pneumonitis	can lead to	chronic lung disease
aspiration pneumonitis	is associated with	aspiration of gastric contents
aspiration pneumonitis	may lead to	acute respiratory failure
aspiration pneumonitis	can cause	lung injury
aspiration pneumonitis	is a risk factor for	silent aspiration
aspiration pneumonitis	is a complication of	feeding tube placement
aspiration pneumonitis	requires	oxygen therapy
aspiration pneumonitis	may result in	lung abscess
aspiration pneumonitis	can lead to	pneumothorax
aspiration pneumonitis	is associated with	increased healthcare utilization
aspiration pneumonitis	can cause	ventilator-associated pneumonia
aspiration pneumonitis	is characterized by	chemical injury to the lungs
aspiration pneumonitis	may result in	fat embolism syndrome
aspiration pneumonitis	can lead to	respiratory compromise
aspiration pneumonitis	is linked to	decreased respiratory function
aspiration pneumonitis	may require	chest physiotherapy
aspiration pneumonitis	is a risk for	bronchoesophageal fistula
aspiration pneumonitis	requires	tracheostomy
aspiration pneumonitis	may result in	pulmonary hemorrhage
aspiration pneumonitis	can cause	lung abscess formation
aspiration pneumonitis	is associated with	bacterial colonization of the airways
aspiration pneumonitis	is often complicated by	pulmonary embolism
aspiration pneumonitis	may lead to	lung fibrosis
aspiration pneumonitis	can lead to	respiratory muscle weakness
aspiration pneumonitis	is linked to	loss of lung volume
aspiration pneumonitis	may require	chest tube insertion
aspiration pneumonitis	can result in	bronchiolitis obliterans
aspiration pneumonitis	is associated with	pulmonary hypertension
aspiration pneumonitis	may lead to	aspiration of debris into the lungs
aspiration pneumonitis	can cause	lung inflammation
aspiration pneumonitis	is a risk factor for	polymicrobial infection
aspiration pneumonitis	requires	multidisciplinary care
aspiration pneumonitis	may result in	lung necrosis
aspiration pneumonitis	can lead to	respiratory acidosis
aspiration pneumonitis	is linked to	impaired gas exchange
aspiration pneumonitis	may require	diaphragmatic pacing
aspiration pneumonitis	is a risk for	ventilator dependency
aspiration pneumonitis	is associated with	decreased lung compliance
aspiration pneumonitis	can cause	lung scarring
aspiration pneumonitis	is often a result of	impaired cough reflex
aspiration pneumonitis	can lead to	pulmonary edema
aspiration pneumonitis	is characterized by	inflammatory changes in the lungs
aspiration pneumonitis	may require	intubation
aspiration pneumonitis	can result in	bronchospasm
aspiration pneumonitis	is a risk for	chemical pneumonitis
aspiration pneumonitis	requires	close monitoring
aspiration pneumonitis	may lead to	respiratory arrest
aspiration pneumonitis	is associated with	gastric acid aspiration
aspiration pneumonitis	can cause	asphyxiation
aspiration pneumonitis	is a consequence of	impaired swallowing reflex
aspiration pneumonitis	may result in	septic shock
aspiration pneumonitis	can lead to	aspergillosis
aspiration pneumonitis	is linked to	poor oral hygiene
aspiration pneumonitis	may require	supportive care
aspiration pneumonitis	can lead to	chronic lung disease
aspiration pneumonitis	is associated with	aspiration of gastric contents
aspiration pneumonitis	may lead to	acute respiratory failure
aspiration pneumonitis	can cause	lung injury
aspiration pneumonitis	is a risk factor for	silent aspiration
aspiration pneumonitis	is a complication of	feeding tube placement
aspiration pneumonitis	requires	oxygen therapy
aspiration pneumonitis	may result in	lung abscess
aspiration pneumonitis	can lead to	pneumothorax
aspiration pneumonitis	is associated with	increased healthcare utilization
aspiration pneumonitis	can cause	ventilator-associated pneumonia
aspiration pneumonitis	is characterized by	chemical injury to the lungs
aspiration pneumonitis	may result in	fat embolism syndrome
aspiration pneumonitis	can lead to	respiratory compromise
aspiration pneumonitis	is linked to	decreased respiratory function
aspiration pneumonitis	may require	chest physiotherapy
aspiration pneumonitis	is a risk for	bronchoesophageal fistula
aspiration pneumonitis	requires	tracheostomy
aspiration pneumonitis	may result in	pulmonary hemorrhage
aspiration pneumonitis	can cause	lung abscess formation
aspiration pneumonitis	is associated with	bacterial colonization of the airways
aspiration pneumonitis	is often complicated by	pulmonary embolism
aspiration pneumonitis	may lead to	lung fibrosis
aspiration pneumonitis	can lead to	respiratory muscle weakness
aspiration pneumonitis	is linked to	loss of lung volume
aspiration pneumonitis	may require	chest tube insertion
aspiration pneumonitis	can result in	bronchiolitis obliterans
aspiration pneumonitis	is associated with	pulmonary hypertension
aspiration pneumonitis	may lead to	aspiration of debris into the lungs
aspiration pneumonitis	can cause	lung inflammation
aspiration pneumonitis	is a risk factor for	polymicrobial infection
aspiration pneumonitis	requires	multidisciplinary care
aspiration pneumonitis	may result in	lung necrosis
aspiration pneumonitis	can lead to	respiratory acidosis
aspiration pneumonitis	is linked to	impaired gas exchange
aspiration pneumonitis	may require	diaphragmatic pacing
aspiration pneumonitis	is a risk for	ventilator dependency
aspiration pneumonitis	is associated with	decreased lung compliance
aspiration pneumonitis	can cause	lung scarring
aspiration pneumonitis	is often a result of	impaired cough reflex
aspiration pneumonitis	can lead to	pulmonary edema
aspiration pneumonitis	is characterized by	inflammatory changes in the lungs
aspiration pneumonitis	may require	intubation
aspiration pneumonitis	can result in	bronchospasm
aspiration pneumonitis	is a risk for	chemical pneumonitis
aspiration pneumonitis	requires	close monitoring
aspiration pneumonitis	may lead to	respiratory arrest
aspiration pneumonitis	is associated with	gastric acid aspiration
aspiration pneumonitis	can cause	asphyxiation
aspiration pneumonitis	is a consequence of	impaired swallowing reflex
aspiration pneumonitis	may result in	septic shock
aspiration pneumonitis	can lead to	aspergillosis
aspiration pneumonitis	is linked to	poor oral hygiene
aspiration pneumonitis	may require	supportive care
aspiration pneumonitis	can lead to	chronic lung disease
aspiration pneumonitis	is associated with	aspiration of gastric contents
aspiration pneumonitis	may lead to	acute respiratory failure
aspiration pneumonitis	can cause	lung injury
aspiration pneumonitis	is a risk factor for	silent aspiration
aspiration pneumonitis	is a complication of	feeding tube placement
aspiration pneumonitis	requires	oxygen therapy
aspiration pneumonitis	may result in	lung abscess
aspiration pneumonitis	can lead to	pneumothorax
aspiration pneumonitis	is associated with	increased healthcare utilization
aspiration pneumonitis	can cause	ventilator-associated pneumonia
aspiration pneumonitis	is characterized by	chemical injury to the lungs
aspiration pneumonitis	may result in	fat embolism syndrome
aspiration pneumonitis	can lead to	respiratory compromise
aspiration pneumonitis	is linked to	decreased respiratory function
aspiration pneumonitis	may require	chest physiotherapy
aspiration pneumonitis	is a risk for	bronchoesophageal fistula
aspiration pneumonitis	requires	tracheostomy
aspiration pneumonitis	may result in	pulmonary hemorrhage
aspiration pneumonitis	can cause	lung abscess formation
aspiration pneumonitis	is associated with	bacterial colonization of the airways
aspiration pneumonitis	is often complicated by	pulmonary embolism
aspiration pneumonitis	may lead to	lung fibrosis
aspiration pneumonitis	can lead to	respiratory muscle weakness
aspiration pneumonitis	is linked to	loss of lung volume
aspiration pneumonitis	may require	chest tube insertion
aspiration pneumonitis	can result in	bronchiolitis obliterans
aspiration pneumonitis	is associated with	pulmonary hypertension
aspiration pneumonitis	may lead to	aspiration of debris into the lungs
aspiration pneumonitis	can cause	lung inflammation
aspiration pneumonitis	is a risk factor for	polymicrobial infection
aspiration pneumonitis	requires	multidisciplinary care
aspiration pneumonitis	may result in	lung necrosis
aspiration pneumonitis	can lead to	respiratory acidosis
aspiration pneumonitis	is linked to	impaired gas exchange
aspiration pneumonitis	may require	diaphragmatic pacing
aspiration pneumonitis	is a risk for	ventilator dependency
aspiration pneumonitis	is associated with	decreased lung compliance
